item,reason
5159,no-data
5162,no-data
5172,no-data
5161,no-data
5163,no-data
5224,no-data
5225,no-data
5227,no-data
5208,stale
5235,no-data
5236,no-data
5223,no-data
5229,no-data
5238,no-data
5239,no-data
5255,no-data
5228,no-data
5276,no-data
5277,no-data
5263,no-data
5268,no-data
5269,no-data
5278,no-data
5281,no-data
5282,no-data
5288,no-data
5292,no-data
5293,no-data
5300,no-data
5301,no-data
5304,no-data
5290,no-data
5303,no-data
5289,no-data
5307,no-data
5308,no-data
5291,no-data
5305,no-data
5347,stale
5349,no-data
5350,no-data
5358,no-data
5361,no-data
5364,no-data
5287,no-data
5362,no-data
5367,no-data
5370,no-data
5365,no-data
5368,no-data
5371,no-data
5369,no-data
5376,no-data
5375,no-data
5377,no-data
5378,no-data
5417,no-data
5406,no-data
5418,no-data
5407,no-data
5427,no-data
5431,stale
5430,no-data
5434,no-data
5432,stale
5468,stale
5452,no-data
5474,stale
5487,stale
5497,no-data
5495,no-data
5501,no-data
5502,no-data
5509,no-data
5511,no-data
5506,no-data
5512,no-data
5526,no-data
5532,no-data
5529,no-data
5545,no-data
5548,no-data
5549,no-data
5530,no-data
5546,no-data
5551,no-data
5552,no-data
5553,no-data
5555,no-data
5556,no-data
5558,no-data
5557,no-data
5554,no-data
5559,no-data
5550,no-data
5560,no-data
5562,no-data
5564,no-data
5567,no-data
5563,no-data
5561,no-data
5577,no-data
5597,no-data
5632,no-data
5625,no-data
5641,no-data
5607,no-data
5644,no-data
5647,no-data
5648,no-data
5650,no-data
5649,no-data
5658,no-data
5654,no-data
5660,no-data
5666,no-data
5657,no-data
5662,no-data
5661,no-data
5667,no-data
5677,no-data
5678,no-data
5672,no-data
5679,no-data
5680,no-data
5682,no-data
5685,no-data
5688,no-data
5696,no-data
5697,no-data
5701,no-data
5683,no-data
5684,no-data
5700,no-data
5698,no-data
5699,no-data
5703,no-data
5705,no-data
5707,no-data
5702,no-data
5719,no-data
5720,no-data
5714,no-data
5716,no-data
5722,no-data
5721,no-data
5724,no-data
5725,no-data
5726,no-data
5727,no-data
5712,no-data
5715,no-data
5713,no-data
5729,no-data
5728,no-data
5730,no-data
5723,no-data
5745,no-data
5746,no-data
5747,no-data
5748,no-data
5783,no-data
5856,no-data
5839,no-data
5870,no-data
5829,no-data
5823,no-data
5953,no-data
5874,no-data
5859,no-data
5871,no-data
5875,no-data
5878,no-data
5954,no-data
6036,no-data
6116,no-data
6120,no-data
6121,no-data
6124,no-data
6123,no-data
6122,no-data
6126,no-data
6128,no-data
6127,no-data
6130,no-data
6131,no-data
6129,no-data
6132,no-data
6135,no-data
6136,no-data
6134,no-data
6137,no-data
6133,no-data
6150,no-data
6183,no-data
6174,no-data
6182,no-data
6216,no-data
6221,no-data
6222,no-data
6224,no-data
6228,no-data
6230,no-data
6225,no-data
6213,no-data
6229,no-data
6231,no-data
6233,no-data
6227,no-data
6235,no-data
6236,no-data
6232,no-data
6234,no-data
6237,no-data
6244,no-data
6273,no-data
6297,no-data
6298,no-data
6304,no-data
6305,no-data
6301,no-data
6306,no-data
6307,no-data
6356,no-data
6355,no-data
6357,no-data
6353,no-data
6374,no-data
6354,no-data
6376,no-data
6434,no-data
6439,no-data
6438,no-data
6457,no-data
6523,no-data
6524,no-data
6525,no-data
6526,no-data
6589,no-data
6618,no-data
6644,no-data
6646,no-data
6645,no-data
6647,no-data
6643,no-data
6672,no-data
6674,no-data
6673,no-data
6651,no-data
6706,no-data
6710,no-data
6715,no-data
6730,no-data
6680,no-data
6736,no-data
6733,no-data
6734,no-data
6886,no-data
6946,no-data
6891,no-data
6947,no-data
6950,no-data
6896,no-data
6987,no-data
6951,no-data
7047,no-data
7027,no-data
7056,no-data
7064,no-data
7066,no-data
7063,no-data
7073,no-data
7074,no-data
7094,no-data
7093,no-data
7098,no-data
7100,no-data
7099,no-data
7101,no-data
7169,no-data
7187,no-data
7188,no-data
7248,no-data
7192,no-data
7190,no-data
7283,stale
7337,no-data
7339,no-data
7340,no-data
7341,no-data
7342,no-data
7299,no-data
7359,no-data
7426,no-data
7427,no-data
7428,no-data
7466,no-data
7497,no-data
7548,no-data
7550,no-data
7549,no-data
7551,no-data
7547,no-data
7612,no-data
7677,no-data
7706,no-data
7678,no-data
7806,no-data
7808,no-data
7809,no-data
7826,no-data
7807,no-data
7913,no-data
7914,no-data
7917,no-data
7925,no-data
7928,no-data
7929,no-data
7935,no-data
7927,stale
7932,no-data
7940,no-data
7938,no-data
7937,no-data
7959,no-data
7962,no-data
7955,no-data
7977,no-data
7978,no-data
7979,no-data
7980,no-data
7982,no-data
7981,no-data
7996,no-data
8091,no-data
8090,no-data
8092,no-data
8093,no-data
8094,no-data
8148,no-data
8164,no-data
8166,no-data
8168,no-data
8211,no-data
8214,no-data
8212,no-data
8215,no-data
8208,no-data
8243,no-data
8383,no-data
8388,no-data
8368,no-data
8426,no-data
8425,no-data
8444,no-data
8427,no-data
8493,no-data
8505,no-data
8506,no-data
8546,no-data
8547,no-data
8507,no-data
8589,no-data
8543,no-data
8590,no-data
8583,no-data
8627,no-data
8743,no-data
8630,no-data
8628,no-data
8633,no-data
8744,no-data
8745,no-data
8508,no-data
8755,stale
8757,no-data
8752,no-data
8759,no-data
8760,no-data
8756,no-data
8753,stale
8758,no-data
8761,no-data
8763,no-data
8764,no-data
8765,no-data
8774,no-data
8767,no-data
8762,no-data
8776,no-data
8777,no-data
8780,no-data
8775,no-data
8778,no-data
8779,no-data
8791,no-data
8793,no-data
8789,no-data
8794,no-data
8792,no-data
8795,no-data
8796,no-data
8798,no-data
8797,no-data
8787,no-data
8799,no-data
8800,no-data
8802,no-data
